time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-03T21:54:03.200Z,19.14016724,-155.3880005,32.45000076,1.84000003,md,35,180,,0.100000001,hv,hv73032802,2022-06-03T21:57:11.610Z,"11 km SE of P?hala, Hawaii",earthquake,0.64,0.889999986,1.83000004,6,automatic,hv,hv
2022-06-03T21:50:05.615Z,31.6068,-103.9706,1.21,2.5,ml,,73,0.251,0.66,us,us7000hesj,2022-06-03T22:01:00.040Z,"36 km NNW of Toyah, Texas",earthquake,1.2,1.8,0.045,66,reviewed,us,us
2022-06-03T21:47:59.411Z,57.3975,-152.7423,15,1.6,ml,,,,1.01,ak,ak022731jqzp,2022-06-03T22:03:29.834Z,"32 km S of Womens Bay, Alaska",earthquake,,1.4,,,automatic,ak,ak
2022-06-03T21:35:26.021Z,38.12,-118.0399,5.1,1.5,ml,8,141.42,0.066,0.157,nn,nn00840263,2022-06-03T21:39:19.921Z,"30 km SSE of Mina, Nevada",earthquake,,0.9,0.37,6,automatic,nn,nn
2022-06-03T21:31:14.190Z,32.829,-115.6096667,5.94,1.4,ml,17,101,0.08319,0.18,ci,ci40033439,2022-06-03T22:13:43.246Z,"4km WSW of Imperial, CA",earthquake,0.3,0.59,0.195,10,reviewed,ci,ci
2022-06-03T20:58:50.488Z,14.1165,-91.4227,80.55,4.7,mwr,,121,0.986,0.99,us,us7000hery,2022-06-03T23:58:44.544Z,Guatemala,earthquake,6.5,6.2,0.078,16,reviewed,us,us
2022-06-03T20:49:47.800Z,44.3211667,-115.1993333,10.45,2.58,ml,15,84,0.947,0.26,mb,mb80547799,2022-06-03T21:38:55.430Z,"23 km WNW of Stanley, Idaho",earthquake,0.54,1.2,0.142,15,reviewed,mb,mb
2022-06-03T20:46:03.530Z,40.2966667,-124.5428333,16.76,2.12,md,18,281,0.1534,0.08,nc,nc73740376,2022-06-04T02:57:10.499Z,"22km W of Petrolia, CA",earthquake,0.78,0.41,0.121,10,reviewed,nc,nc
2022-06-03T20:42:25.897Z,63.2943,-145.082,11.1,1.1,ml,,,,1.38,ak,ak022730x67r,2022-06-03T20:46:01.827Z,"35 km NE of Paxson, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-06-03T20:23:13.130Z,17.97,-66.98533333,8.64,2.19,md,5,183,,0.05,pr,pr71352213,2022-06-03T20:42:08.600Z,"6 km E of La Parguera, Puerto Rico",earthquake,0.45,0.84,0.215020618,2,reviewed,pr,pr
2022-06-03T20:13:07.690Z,33.8261667,-117.4801667,-0.66,1.17,ml,30,62,0.03054,0.2,ci,ci40033399,2022-06-03T21:47:38.187Z,"7km SSE of Home Gardens, CA",quarry blast,0.36,31.61,0.119,12,reviewed,ci,ci
2022-06-03T20:07:02.670Z,38.1205,-122.1785,-0.07,1.01,md,10,94,0.02321,0.07,nc,nc73740371,2022-06-03T23:37:22.309Z,"5km E of Vallejo, CA",quarry blast,0.31,31.61,0.139,8,reviewed,nc,nc
2022-06-03T19:59:33.057Z,-7.063,129.4617,108.85,4.6,mb,,68,2.037,0.78,us,us7000herc,2022-06-03T21:28:05.040Z,"Kepulauan Babar, Indonesia",earthquake,6.7,6.5,0.06,95,reviewed,us,us
2022-06-03T19:57:15.617Z,63.3677,-151.951,9.3,1.3,ml,,,,0.99,ak,ak022730exk9,2022-06-03T20:02:54.591Z,"22 km SSW of Denali National Park, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-06-03T19:44:22.520Z,39.4271667,-110.2893333,-2.45,1.64,ml,10,185,0.02787,0.12,uu,uu60500407,2022-06-03T20:41:53.770Z,"16 km SSE of Sunnyside, Utah",earthquake,0.96,2.03,0.147,5,reviewed,uu,uu
2022-06-03T19:37:28.460Z,46.0115,-112.4735,-2,1.46,ml,13,112,0.056,0.16,mb,mb80547739,2022-06-03T20:20:03.630Z,"4 km E of Butte, Montana",quarry blast,0.67,31.61,0.263,6,reviewed,mb,mb
2022-06-03T19:16:17.660Z,36.5636667,-121.1546667,8.77,2.24,md,50,65,0.02601,0.07,nc,nc73740366,2022-06-04T02:42:10.417Z,"4km NNW of Pinnacles, CA",earthquake,0.14,0.25,0.191,56,reviewed,nc,nc
2022-06-03T19:16:11.517Z,62.2785,-150.7843,48.2,2.1,ml,,,,0.89,ak,ak02273064vr,2022-06-03T19:44:23.782Z,"24 km S of Petersville, Alaska",earthquake,,1,,,automatic,ak,ak
2022-06-03T18:51:57.420Z,37.3098333,-121.6766667,6.55,1.38,md,27,39,0.04179,0.07,nc,nc73740361,2022-06-04T00:21:16.591Z,"15km E of Seven Trees, CA",earthquake,0.19,0.33,0.282,25,reviewed,nc,nc
2022-06-03T18:48:00.822Z,56.5799,-152.4167,0,2.8,ml,,,,0.64,ak,ak02272zrkmc,2022-06-03T18:58:28.470Z,"88 km SE of Old Harbor, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-06-03T18:30:41.990Z,60.3153,-152.3142,85.8,3,ml,,,,0.61,ak,ak02272znrmr,2022-06-04T02:56:29.549Z,"46 km NW of Ninilchik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-06-03T18:26:33.140Z,59.0106,-152.8166,74.5,1.1,ml,,,,0.47,ak,ak02272zmw46,2022-06-03T18:34:29.654Z,"64 km SW of Nanwalek, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-06-03T18:11:22.420Z,34.7335,-116.9518333,2.35,1.75,ml,44,40,0.1463,0.14,ci,ci40033343,2022-06-03T21:34:30.480Z,"20km SSE of Barstow, CA",earthquake,0.12,0.48,0.092,19,reviewed,ci,ci
2022-06-03T18:07:21.350Z,36.8891667,-121.6138333,1.57,1.44,md,19,72,0.01815,0.05,nc,nc73740351,2022-06-03T20:11:04.385Z,"3km E of Aromas, CA",quarry blast,0.17,0.36,0.186,15,reviewed,nc,nc
2022-06-03T18:01:07.650Z,33.061,-115.0056667,-0.16,1,ml,10,68,0.09152,0.19,ci,ci40033335,2022-06-03T19:07:34.110Z,"45km NE of Holtville, CA",quarry blast,0.59,31.61,0.078,4,reviewed,ci,ci
2022-06-03T17:53:31.259Z,59.8825,-151.6049,44.4,1.1,ml,,,,0.34,ak,ak02272z78hn,2022-06-03T17:58:06.680Z,"7 km N of Nikolaevsk, Alaska",earthquake,,4.9,,,automatic,ak,ak
2022-06-03T17:48:48.820Z,35.6333333,-117.5613333,6.89,1.35,ml,24,83,0.08338,0.11,ci,ci40033319,2022-06-03T21:21:18.358Z,"10km E of Ridgecrest, CA",earthquake,0.17,0.42,0.157,11,reviewed,ci,ci
